title,link,pubDate,summary,category,tags,slug,migrated
춤추는 로봇을 보고 이상한 질문이 떠올랐다 ─ 우리는 왜 AI에게 성격을 느낄까,https://blog.naver.com/bitandink/224205543377?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 16:38:39 +0900","얼마 전 휴머노이드 로봇 영상을 하나 봤다. Boston Dynamics가 만든 로봇 'Atlas'가 춤을 추는 영상이다. 일전에도 나는 'Atlas'의 영상을 보고 충격을 받은 적이 있어서 영상을 클릭하기 전까진 비슷한 시연 영상이겠거니 했다. 하지만 영상을 클릭하고 내 머릿속에 떠오른 첫 생각은 이거였다. ""쟤, 누가",,,춤추는-로봇을-보고-이상한-질문이-떠올랐다-우리는-왜-ai에게-성격을-느낄까,N
〈 사랑은 계약 대상이 아닙니다 〉 ─ 숏폼 드라마 기획안,https://blog.naver.com/bitandink/224205232359?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 13:06:52 +0900","장르 | 관계 드라마 / 현실 로맨스 형식 | 숏폼 드라마(회차당 40 ~ 60초) 분량 | 총 20 ~ 25부작 극본 | 최은빈 로그라인 이별조차 안전하게 끝내기 위해 '천천히 헤어지는 계약서'를 작성한 커플 그러나 마지막 조항, 서로의 새로운 사랑을 축복한다는 문장 앞에서 이별은 멈춘다. 대본 의도 〈 사랑은 계약 대",,,-사랑은-계약-대상이-아닙니다-숏폼-드라마-기획안,N
〈 약조는 피로 지켜진다 〉 ─ 5장. 비워진 날 : 첫 대면,https://blog.naver.com/bitandink/224204762462?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 03:50:01 +0900","❖ 5장. 비워진 날 : 첫 대면 ❖ 매달 결일은 은현이 일정 없이 보내는 날이었다. 아니, 정확히 말하면 은현이 처리해야 할 서씨 가문 일정이 비워지는 날이었다. 이날만큼은 조정의 부름도, 모임의 초대도 그녀에게 닿지 않았다. 가문 안에서는 휴식이라 불렀지만, 은현에게 결일은 숨을 고르는 시간에 가까웠다. 아무것도 하지",,,-약조는-피로-지켜진다-5장-비워진-날-첫-대면,N
〈 약조는 피로 지켜진다 〉 ─ 4장. 판단의 기준,https://blog.naver.com/bitandink/224204759477?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 03:42:38 +0900","❖ 4장. 판단의 기준 ❖ 재탁은 아침부터 서안 앞에 앉아 있었다. 최씨 가문의 하루는 늘 조용하게 시작했다. 문서를 넘기는 소리, 먹을 가는 소리, 하인이 발걸음을 죽여 오가는 소리까지도 모두 일정한 질서를 따랐다. 누군가 일부러 만들지 않아도, 오래 반복된 규칙처럼 자연스럽게 굳어진 흐름이었다. 재탁의 하루 역시 그 ",,,-약조는-피로-지켜진다-4장-판단의-기준,N
〈 약조는 피로 지켜진다 〉 ─ 3장. 흠집이 남은 자리,https://blog.naver.com/bitandink/224204702896?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 01:42:36 +0900","❖ 3장. 흠집이 남은 자리 ❖ 서씨 가문 안채는 낮게 가라앉아 있었다. 사람이 없어서가 아니라, 말이 스스로 조심스러워진 듯한 분위기였다. 금현은 자신의 처소로 돌아오는 길 내내 몇 번이나 걸음을 늦췄다. 귀에 남은 말들이 생각보다 끈질기게 따라붙었고, 애써 외면하려 해도 발걸음이 멈출 때마다 다시 떠올랐다. — 최씨 ",,,-약조는-피로-지켜진다-3장-흠집이-남은-자리,N
〈 약조는 피로 지켜진다 〉 ─ 2장. 선택이라는 이름의 거래,https://blog.naver.com/bitandink/224204698211?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 01:34:23 +0900","❖ 2장. 선택이라는 이름의 거래 ❖ “아버지, 은현입니다.” “들어오거라.” 아비의 목소리가 들리자, 은현은 옷매무새를 가다듬었다. 숨을 한 번 고르고, 곁에 서 있던 유모가 문을 여는 사이로 조용히 발을 들였다. 발걸음에는 서두름도, 망설임도 없었다. “부르셨다 들었습니다.” 은현은 고개를 살짝 숙였다. 허리를 깊이 ",,,-약조는-피로-지켜진다-2장-선택이라는-이름의-거래,N
〈 약조는 피로 지켜진다 〉 ─ 1장. 서씨 가문 은현 아씨,https://blog.naver.com/bitandink/224204692510?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 01:25:15 +0900","❖ 1장. 서씨 가문 은현 아씨 ❖ 서씨 가문 은현 아씨는 정원에 들어서기 전, 이미 오늘 자신이 어떤 얼굴을 해야 할지 알고 있었다. 주술로 쾌적함을 유지한 가마 안과 달리, 바깥은 강한 햇볕이 내리쬐고 있었다. 본격적인 여름 더위가 시작된 날이었다. 은현은 유모의 부축을 받으며 가마에서 내려 잠시 숨을 고른 뒤, 천천",,,-약조는-피로-지켜진다-1장-서씨-가문-은현-아씨,N
〈 약조는 피로 지켜진다 〉 ─ 서장. 되어야 할 시간,https://blog.naver.com/bitandink/224204688060?fromRss=true&trackingCode=rss,"Thu, 05 Mar 2026 01:18:38 +0900","❖ 서장. 되어야 할 시간 ❖ 이마에서 느껴지는 온기 섞인 손길에, 서은현으로 살아야 했던 시간이 사르륵 녹아내렸다. 은현은 가만히 손을 들어 이마 위에 얹힌 손등을 포개 쥐었다. ‘어머니…’ 나직한 부름에 화답하듯 손길이 이마에서 정수리까지 천천히 쓸어내렸다. 어미젖을 찾는 짐승의 새끼처럼, 은현은 그리운 온기에 얼굴을",,,-약조는-피로-지켜진다-서장-되어야-할-시간,N
〈 아이젠하임 대대장의 예의 〉 ─ Chapter 2,https://blog.naver.com/bitandink/224204539614?fromRss=true&trackingCode=rss,"Wed, 04 Mar 2026 22:39:24 +0900","✦ Chapter 2 ✦ 문이 걷어차이듯 열렸다. 노크조차 없었다. 식당 안으로 밀려든 문이 벽에 부딪혀 둔탁한 소리를 만들었다. 그 소리보다 먼저 들린 것은 거칠게 끊어지는 숨소리였다. 순간, 칼끝이 미세하게 흔들렸다. 그러나 나는 그대로 나이프와 포크에 힘을 주어 접시 위의 스테이크를 잘랐다. 내 식사 시중을 들던 전",,,-아이젠하임-대대장의-예의-chapter-2,N
〈 아이젠하임 대대장의 예의 〉 ─ Chapter 1,https://blog.naver.com/bitandink/224204533707?fromRss=true&trackingCode=rss,"Wed, 04 Mar 2026 22:33:45 +0900","✦ Chapter 1 ✦ “아, 맞다. 제가 대박 소식 물어왔는데. 들어보실래요?” 아카데미에서 걸어서 5분 거리의 카페 룬. 한바탕 손님치레가 끝나고 어느 정도 안정을 찾은 카페 안을 바라보며 휴식을 취하던 내 귀에 높은 목소리가 들어왔다. 카운터와 수납장 사이에 끼어 있어 잘 보이지 않는 자리. 처음 발견하자마자 사장",,,-아이젠하임-대대장의-예의-chapter-1,N
〈 아이젠하임 대대장의 예의 〉 ─ Prologue,https://blog.naver.com/bitandink/224204527982?fromRss=true&trackingCode=rss,"Wed, 04 Mar 2026 22:28:19 +0900","✦ Prologue ✦ 한때 서로가 서로의 꿈이라 믿었던 두 사람이 헤어지는 이유는 의외로 단순하다. 사랑이 끝났기 때문이다. 아니, 사랑을 끝내야 하기 때문인가? 파혼장을 작성하던 손이 잠시 멈췄다. 손에 쥔 깃펜을 잠시 내려다본 나는 깃펜을 책상 위에 내려놨다. 책상 위는 깔끔하게 정리되어 있었다. 인장과 봉랍 도구들",,,-아이젠하임-대대장의-예의-prologue,N
〈 사랑을 흘리다 〉 ─ 듀얼 나레이션 대본 / 관계 심리 대본,https://blog.naver.com/bitandink/224204510214?fromRss=true&trackingCode=rss,"Wed, 04 Mar 2026 22:11:16 +0900","※ 본 원고는 동일한 이별의 순간을 두 인물의 시점으로 교차 구성한 영상용 듀얼 나레이션 대본입니다. 예상 낭독 시간 : 각각 70초 내외 그의 이야기 그만하자… 짧고 굵게 한마디 툭 내던진 너. 어딘가 후련해 보이기까지 하는 네 얼굴을 보면서, 멍해지는 나를 홀로 두고 넌 미안한 듯 엷은 미소를 남긴 채 사라졌어. 그때",,,-사랑을-흘리다-듀얼-나레이션-대본-관계-심리-대본,N
〈 봄에게 〉 ─ 나레이션 대본,https://blog.naver.com/bitandink/224204477898?fromRss=true&trackingCode=rss,"Wed, 04 Mar 2026 21:39:45 +0900","※ 본 원고는 영상용 나레이션을 목적으로 작성한 창작 대본입니다. 예상 낭독 시간: 약 55~60초 며칠 사이에 날씨가 뒤바뀐 것을 보면, 봄이 오긴 한 것 같습니다. 유난히 변덕스러운 봄날씨에 적응하느라 병원이 문전성시를 이루는 이맘때, 늘상 돌고 도는 계절에 많은 의미를 부여하는 것은 오직 인간뿐이라는… 어디선가 읽은",,,-봄에게-나레이션-대본,N
〈 우리는 서로를 보내기로 했다 〉 — 감정 독백 / 관계 심리 나레이션,https://blog.naver.com/bitandink/224204473771?fromRss=true&trackingCode=rss,"Wed, 04 Mar 2026 21:35:47 +0900","※ 본 원고는 영상용 나레이션을 목적으로 작성한 창작 대본입니다. 예상 낭독 시간: 각각 약 70초 내외 우리는 서로를 보내기로 했다 같은 순간을 다른 방식으로 기억하는 두 사람의 이야기. 그의 이야기 있지… 나, 고백당했다? 난 말야… 우리 관계가 적당해서 참 좋았어. 서로에 대한 애정은 있지만 간섭하지 않고, 그저 말",,,-우리는-서로를-보내기로-했다-감정-독백-관계-심리-나레이션,N
〈 눈이 예뻐 〉 ─ 단편소설,https://blog.naver.com/bitandink/224204458819?fromRss=true&trackingCode=rss,"Wed, 04 Mar 2026 21:21:16 +0900",❄❄❄ 환은 느린 사람이었다. 늘 한 박자 늦게 움직이고 늦게 말했다. 그런 그를 어떤 이는 신중하다 표현했고 어떤 이는 답답해했다. 어떤 결정을 내리거나 질문을 받을 때도 그는 꼭 한 번 더 생각했다. 생각이 많아서도 상대방을 배려해서도 아니었다. 단지─ 이걸 선택했는데 잠시 후에 더 좋은 게 나타날 수 있으니까. 라는,,,-눈이-예뻐-단편소설,N
〈 UGLY DAUGHTER 〉 ─ 숏폼 드라마 기획안,https://blog.naver.com/bitandink/224204430408?fromRss=true&trackingCode=rss,"Wed, 04 Mar 2026 20:53:06 +0900","숏폼 드라마 기획안 | 장르 : 블랙 코미디 · 가족 드라마 | 형식 : 숏폼 드라마 (회차당 1~2분 내외) 기획 의도 〈UGLY DAUGHTER〉는 외모지상주의적 시선을 폭력으로 인식하지 못하는 아버지와, 그 시선을 제도적으로 문제 삼아버린 딸의 선택에서 출발하는 가족 헤프닝이다. 이 작품은 누가 가해자인지를 단정하지",,,-ugly-daughter-숏폼-드라마-기획안,N
독자 친화적 글 vs 자기 친화적 글 ─ 읽는 건 독자의 몫일까,https://blog.naver.com/bitandink/224200155748?fromRss=true&trackingCode=rss,"Sun, 01 Mar 2026 12:58:43 +0900","흔히들 이런 말을 한다. “해석은 읽는 사람의 몫이다.” 능동적인 독서, 올바른 독서 태도를 이야기할 때 빠지지 않는 문장이다. 나는 그 말을 좋아한다. 동시에 조금 경계한다. 그 문장이 종종, 너무 쉽게 쓰이기 때문이다. 그리고 또 흔히들 말한다. 독자를 배려하라고. 쉽게 쓰라고. 오해가 없게 하라고. 두 말 모두 틀리",,,독자-친화적-글-vs-자기-친화적-글-읽는-건-독자의-몫일까,N
변수명을 줄였을 뿐인데 ─ 좋은 변수 네이밍이 가진 윤리에 대하여,https://blog.naver.com/bitandink/224199362418?fromRss=true&trackingCode=rss,"Sat, 28 Feb 2026 17:43:27 +0900","변수명과 단어 선택의 윤리 몇년 전일이다. 개발 공부를 같이 하던 친구들과 작은 프로젝트를 진행 중이었다. 내가 맡은 부분은 게시판 CRUD를 구현하는 거였다. 홈페이지 개발의 기본 작업이라 나는 습관처럼 변수 선언부터 시작했다. 이 코드를 작성할 때, 나는 아무 의심도 하지 않았다. 오히려 꽤 잘 정리된 코드라고 생각했",,,변수명을-줄였을-뿐인데-좋은-변수-네이밍이-가진-윤리에-대하여,N
코드와 문장 사이에서,https://blog.naver.com/bitandink/224198421078?fromRss=true&trackingCode=rss,"Fri, 27 Feb 2026 19:40:03 +0900","같이 개발자로 일하던 동료가 내 블로그를 보고 말했다. “누나, 블로그에 좋은 글 많은데 뭔가 누나가 어떤 사람인지는 잘 안 보여요.” 그 친구는 대학에서 마케팅을 전공하고, 대학원에서는 경제·경영을 공부했다. 그가 쓴 논문 중에는 이런 제목이 있었다. 「왜 월가에서 일하는 사람들은 중요한 계약을 할 때 빨간색 넥타이를 ",,,코드와-문장-사이에서,N
미안해 루프를 만들지 않는 방법 ─ 현실주의자의 연애 이야기,https://blog.naver.com/bitandink/224188875164?fromRss=true&trackingCode=rss,"Fri, 20 Feb 2026 03:25:55 +0900","“미안해.” “뭐가 미안한데?” 이 대화가 오갈 때, 사람들은 보통 “사과가 부족했나?”를 생각한다. 근데 이상하게도 이 루프는 사과를 더 많이 할수록 더 잘 열린다. 왜냐하면 여기서 “미안해”는 사과가 아니라 종료 버튼이 되기 쉽고, “뭐가 미안한데”는 확인이 아니라 시험지로 들리기 쉽기 때문이다. 한쪽은 빨리 끝내고 ",,,미안해-루프를-만들지-않는-방법-현실주의자의-연애-이야기,N
“미안해”가 쥐약이 되는 순간 ─ 현실주의자의 연애 이야기,https://blog.naver.com/bitandink/224188856859?fromRss=true&trackingCode=rss,"Fri, 20 Feb 2026 02:42:34 +0900","“미안해.” “뭐가 미안한데?” 연애에서 이 대사가 오가는 순간, 둘 중 한 사람은 거의 확실하게 피곤해진다. 대화를 하고 있다고 생각하지만 사실은 서로 다른 게임을 시작하고 있기 때문이다. 한쪽은 ‘이해’를 확인하려고 하고, 다른 쪽은 ‘정답’을 맞혀야 할 것 같아진다. 그래서 “미안해”는 사과가 아니라 방어가 되고, ",,,미안해가-쥐약이-되는-순간-현실주의자의-연애-이야기,N
“쓰레기 초고”를 허용하는 연습,https://blog.naver.com/bitandink/224188691776?fromRss=true&trackingCode=rss,"Thu, 19 Feb 2026 22:53:28 +0900","나는 글을 쓰는 사람이라기보다, 글을 만드는 사람에 가깝다. 만든다는 말에는 언제나 재료가 따라온다. 재료는 대개 지저분하다. 정돈된 결과물만 보고 자라온 사람들은 그 지저분함을 실패로 오해하지만, 실제로는 그게 시작이다. 그런데 우리는 시작을 싫어한다. 특히 “잘해야 한다”는 훈련을 오래 받은 사람일수록 그렇다. 개발도",,,쓰레기-초고를-허용하는-연습,N
삽질 기록 ④ ─ sync dynamic params 지옥편 (문서는 배신하지 않는다),https://blog.naver.com/bitandink/224179478950?fromRss=true&trackingCode=rss,"Fri, 13 Feb 2026 10:50:00 +0900","나는 또 버그를 잡았다 아니, 버그라고 믿고 싶었다. 요즘 나는 Next.js App Router + Dynamic Route + Template 구조 이 3종 세트를 가지고 놀고 있었다. 그리고 그날, 문제는 아주 평화롭게 시작됐다. 페이지가… 안 떴다. 사건 개요 — 갑자기 등장한 sync dynamic params ",,,삽질-기록-sync-dynamic-params-지옥편-문서는-배신하지-않는다,N
삽질 기록 ③ ─ 저장을 안 하면 세상은 절대 변하지 않는다,https://blog.naver.com/bitandink/224179455446?fromRss=true&trackingCode=rss,"Thu, 12 Feb 2026 16:00:00 +0900","나는 오늘도 버그를 잡았다. 아니, 정확히는 버그라고 믿고 싶었다. 이번에는 오타도 아니었다. 대괄호도 잘 닫았다. 문법도 틀리지 않았다. 그래서 나는 확신했다. “이번엔 진짜 내 잘못 아닐 거야.” …그리고 이런 생각을 하는 순간, 대부분 개발자는 틀린다. 사건 개요 ─ CSS가 사라졌다 CSS가 안 먹었다. 그냥 “조",,,삽질-기록-저장을-안-하면-세상은-절대-변하지-않는다,N
삽질 기록 ② ─ 대괄호는 배신하지 않는다(내가 배신한다),https://blog.naver.com/bitandink/224179472771?fromRss=true&trackingCode=rss,"Wed, 11 Feb 2026 14:30:00 +0900","나는 오늘도 버그를 잡았다 아니, 정확히는 버그라고 믿고 싶었다. 개발을 하다 보면 어느 순간 이런 생각이 든다. “이번엔 진짜 내 문제가 아닐 거야.” 그리고 보통… 그 생각이 드는 순간 이미 게임은 끝난 상태다. 사건 개요 — Card 컴포넌트와 EOF의 습격 Card 컴포넌트를 만들던 중 역시나 에러가 터졌다. 에러",,,삽질-기록-대괄호는-배신하지-않는다내가-배신한다,N
삽질 기록 ① ─ 대부분의 버그는 개발자의 손가락에서 나온다.,https://blog.naver.com/bitandink/224179373942?fromRss=true&trackingCode=rss,"Wed, 11 Feb 2026 00:04:22 +0900","나는 오늘도 버그를 잡았다. 아니, 정확히는 버그라고 믿고 싶었다. 처음엔 Next.js가 이상한 거라고 생각했다. 그 다음에 TypeScript 탓을 했다. 마지막엔 레이아웃 시스템에 잘못했다고 의심했다. 결코 내 잘못은 아니라고... 나는 잘못한게 없다고 굳게 믿고 있었다. 사건 개요 ─ dz의 습격 부트캠프 출신인 ",,,삽질-기록-대부분의-버그는-개발자의-손가락에서-나온다,N
노동 이후의 인간 ─ 기본소득은 무엇을 바꾸게 될까,https://blog.naver.com/bitandink/224177174387?fromRss=true&trackingCode=rss,"Mon, 09 Feb 2026 12:36:51 +0900","아이러니하게도, 우리는 자본주의를 유지하기 위해 마르크스의 이론을 다시 꺼내는 순간이 올지도 모른다. 노동이 더 이상 소득을 설명하지 못하는 사회에서는, ‘노동을 기준으로 분배한다’는 전제 자체가 흔들리기 때문이다. 자동화는 생산성을 높이는 방향으로만 작동하지 않는다. 동시에 노동과 생존 사이의 연결을 천천히 느슨하게 만",,,노동-이후의-인간-기본소득은-무엇을-바꾸게-될까,N
"아틀라스를 보며 ─ 기술과 노동, 인간은 무엇으로 살아갈까",https://blog.naver.com/bitandink/224176712515?fromRss=true&trackingCode=rss,"Mon, 09 Feb 2026 02:24:02 +0900","일을 시키기 위해 만들었던 일들 디자인을 하는 친구가 이런 말을 했다. 예전에는 신입이 들어오면 일을 익히기 전까지 그냥 놀게 두기도 애매해서 누끼 따는 작업을 시키곤 했다고 한다. 크게 중요하지는 않지만, 그렇다고 완전히 쓸모없는 일도 아닌, 적당히 시간을 채울 수 있는 작업. 결과물의 완성도가 아주 중요한 작업도 아니",,,아틀라스를-보며-기술과-노동-인간은-무엇으로-살아갈까,N
AI는 어디까지 판단할 수 있는가 ─ AI 기본법에 대하여,https://blog.naver.com/bitandink/224176664337?fromRss=true&trackingCode=rss,"Mon, 09 Feb 2026 01:01:57 +0900","AI는 어디까지 판단할 수 있는가 한국의 'AI 기본법'은 이제 국내 이슈로만 끝나지 않는다. 해외에서도 ""포괄적 AI 규제 모델""이라는 관점에서 한국을 보고 있다1) 이 관심은 과장이 아니다. AI는 어느 나라든 산업이면서 동시에 사회 인프라로 자리잡고 있기 때문이다. 그리고 한국은 이미 그 단계에 접어든 나라들 중 하",,,ai는-어디까지-판단할-수-있는가-ai-기본법에-대하여,N
" 읽기의 태도 ④ ─ 좋은 사람은 끝까지 듣고, 좋은 개발자는 끝까지 읽는다",https://blog.naver.com/bitandink/224174040159?fromRss=true&trackingCode=rss,"Fri, 06 Feb 2026 15:09:35 +0900","대화를 나눌 때 유난히 편안한 사람이 있다. 말을 잘해서라기보다, 끝까지 들어 주기 때문이다. 중간에 끊지 않고, 성급하게 결론을 내리지 않고, 내가 말하려는 지점까지 조용히 기다려 준다. 그런 사람 앞에서는 괜히 더 솔직해지고, 설명도 차분해진다. 듣는 태도 하나만으로 관계의 온도가 달라진다. 생각해 보면 개발도 비슷하",,,읽기의-태도-좋은-사람은-끝까지-듣고-좋은-개발자는-끝까지-읽는다,N
" 읽기의 태도 ③ ─ 추측하는 순간, 이해는 멈춘다",https://blog.naver.com/bitandink/224174004896?fromRss=true&trackingCode=rss,"Fri, 06 Feb 2026 14:43:25 +0900","사람은 생각보다 쉽게 결론을 내린다. 몇 마디만 들어도 상대가 무슨 말을 하려는지 알 것 같고, 글의 초반부만 읽어도 전체 흐름이 그려진다고 느낀다. 그 감각은 때로 유용하다. 경험이 쌓일수록 우리는 패턴을 빠르게 알아차리게 되니까. 문제는 그 다음이다. “아, 이런 이야기겠네.” 이 한 문장이 머릿속에 떠오르는 순간, ",,,읽기의-태도-추측하는-순간-이해는-멈춘다,N
 읽기의 태도 ② ─ 우리는 왜 끝까지 읽지 않을까,https://blog.naver.com/bitandink/224172780161?fromRss=true&trackingCode=rss,"Thu, 05 Feb 2026 15:30:29 +0900","언제부터인가 긴 글 앞에 서면 작은 망설임이 생긴다. 스크롤의 길이를 먼저 가늠하고, 읽는 데 얼마나 걸릴지를 계산한다. 몇 문단을 내려가다 보면 자연스럽게 속도가 붙고, 어느 순간부터는 중요한 부분만 찾으려 한다. 끝까지 읽기보다, 빨리 이해하고 싶어진다. 우리는 매일 많은 문장을 읽는다. 메시지를 확인하고, 기사를 훑",,,읽기의-태도-우리는-왜-끝까지-읽지-않을까,N
